name,type,novel,bases,community,degree,betweenness,planet
Тинтажель,onym,Туманность Андромеды,1,427,0.0023584905660377358,4.638132873230553e-06,Нейтр/Космос
Лебедем,onym,Туманность Андромеды,1,427,0.0023584905660377358,1.9480158067568322e-05,Нейтр/Космос
Попытка,onym,Туманность Андромеды,1,427,0.0023584905660377358,1.669727834362999e-05,Нейтр/Космос
Дзеты,onym,Туманность Андромеды,1,427,0.001768867924528302,0.0,Нейтр/Космос
Кормы,onym,Туманность Андромеды,1,427,0.001768867924528302,0.0,Нейтр/Космос
Форма,onym,Туманность Андромеды,1,427,0.001768867924528302,0.0,Нейтр/Космос
Ахернар,onym,Туманность Андромеды,1,428,0.0011792452830188679,0.0,Нейтр/Космос
Пятна,onym,Туманность Андромеды,1,428,0.0011792452830188679,0.0,Нейтр/Космос
Диаметром,onym,Туманность Андромеды,1,428,0.0011792452830188679,0.0,Нейтр/Космос
Снимки,onym,Туманность Андромеды,1,429,0.0,0.0,Нейтр/Космос
Альфа,onym,Туманность Андромеды,1,430,0.0005896226415094339,0.0,Нейтр/Космос
Туканом,onym,Туманность Андромеды,1,430,0.0005896226415094339,0.0,Нейтр/Космос
Трудность,onym,Туманность Андромеды,1,431,0.0,0.0,Нейтр/Космос
Надир,onym,Туманность Андромеды,1,432,0.0,0.0,Нейтр/Космос
Ахернару,onym,Туманность Андромеды,1,433,0.0,0.0,Нейтр/Космос
Омикрон,onym,Туманность Андромеды,1,434,0.0005896226415094339,0.0,Нейтр/Космос
Размерами,onym,Туманность Андромеды,1,434,0.0011792452830188679,6.957199309845829e-07,Нейтр/Космос
Тяготение,onym,Туманность Андромеды,1,434,0.0005896226415094339,0.0,Нейтр/Космос
Достижение,onym,Туманность Андромеды,1,435,0.0,0.0,Нейтр/Космос
Аэллу,onym,Туманность Андромеды,1,436,0.0005896226415094339,0.0,Нейтр/Космос
Романтика,onym,Туманность Андромеды,1,436,0.0005896226415094339,0.0,Нейтр/Космос
Долголетие,onym,Туманность Андромеды,1,437,0.0,0.0,Нейтр/Космос
Лио,onym,Туманность Андромеды,1,438,0.0,0.0,Нейтр/Космос
Ангелы,onym,Туманность Андромеды,1,439,0.0011792452830188679,0.0,Нейтр/Космос
Затаив,onym,Час Быка,1,439,0.0011792452830188679,0.0,Нейтр/Космос
Обилие,onym,Туманность Андромеды,1,439,0.001768867924528302,1.3914398619691658e-06,Нейтр/Космос
Паутина,onym,Туманность Андромеды,1,439,0.0005896226415094339,0.0,Нейтр/Космос
