novel,onym,origin,internal_form,traits,semantic_links,myth_ref
Туманность Андромеды,Академию Стохастики,не определено,,,"{'мифология': 0.55, 'знание': 0.529}",False
Туманность Андромеды,Эрга Ноора,не определено,,мифологизация,"{'мифология': 0.717, 'знание': 0.564}",True
Туманность Андромеды,Комната,не определено,,,"{'мифология': 0.427, 'знание': 0.401}",False
Туманность Андромеды,Петра,не определено,,,"{'мифология': 0.5, 'знание': 0.423}",False
Туманность Андромеды,Мозг,не определено,,,"{'знание': 0.413, 'мифология': 0.405}",False
Туманность Андромеды,Афродита,не определено,,мифологизация,"{'мифология': 0.582, 'экология': 0.467}",True
Туманность Андромеды,Биолог,не определено,,,"{'экология': 0.51, 'знание': 0.438}",False
Туманность Андромеды,Шорох,не определено,,мифологизация,"{'мифология': 0.728, 'экология': 0.611}",True
Туманность Андромеды,Форма,не определено,,,"{'мифология': 0.51, 'знание': 0.464}",False
Туманность Андромеды,Дуэт,не определено,,мифологизация,"{'мифология': 0.761, 'знание': 0.666}",True
Туманность Андромеды,Воля,не определено,,мифологизация,"{'мифология': 0.765, 'знание': 0.618}",True
Туманность Андромеды,Контроля Чести,не определено,,,"{'тирания': 0.522, 'сила': 0.502}",False
Туманность Андромеды,Краны,не определено,,мифологизация,"{'мифология': 0.732, 'сила': 0.633}",True
Туманность Андромеды,"Совет
Экономики",не определено,,,{'сила': 0.439},False
Туманность Андромеды,Галактикой,не определено,,,{},False
Туманность Андромеды,Школа,не определено,,,"{'знание': 0.503, 'мифология': 0.477}",False
Туманность Андромеды,Тор Ан,не определено,,мифологизация,"{'мифология': 0.668, 'сила': 0.543}",True
Туманность Андромеды,Постройки,не определено,,,"{'сила': 0.476, 'мифология': 0.446}",False
Туманность Андромеды,Учительница,не определено,,,{'знание': 0.462},False
Туманность Андромеды,Наблюдательность,не определено,,мифологизация,"{'знание': 0.583, 'мифология': 0.567}",True
Туманность Андромеды,Опыт,не определено,,мифологизация,"{'знание': 0.679, 'мифология': 0.566}",True
Туманность Андромеды,Африканцу,не определено,,,"{'мифология': 0.512, 'экология': 0.417}",False
Туманность Андромеды,Планетолет,не определено,,мифологизация,"{'мифология': 0.552, 'экология': 0.474}",True
Туманность Андромеды,Свисток,не определено,,мифологизация,"{'мифология': 0.778, 'знание': 0.623}",True
Туманность Андромеды,Горе,не определено,,мифологизация,"{'сила': 0.557, 'мифология': 0.551}",True
Туманность Андромеды,Ловко,не определено,,мифологизация,"{'мифология': 0.727, 'знание': 0.595}",True
Туманность Андромеды,"Веду
Конг",не определено,,мифологизация,"{'мифология': 0.596, 'знание': 0.46}",True
Туманность Андромеды,Врач Лума,не определено,,,"{'мифология': 0.428, 'знание': 0.401}",False
Туманность Андромеды,Андромеды,не определено,,,{},False
Туманность Андромеды,Космос,не определено,,,"{'мифология': 0.52, 'экология': 0.48}",False
Туманность Андромеды,Симфония,не определено,,,{},False
Туманность Андромеды,Академии Пределов,не определено,,,"{'знание': 0.489, 'мифология': 0.486}",False
Туманность Андромеды,Даже Эрг,не определено,,мифологизация,"{'мифология': 0.6, 'сила': 0.503}",True
Туманность Андромеды,Разрыв,не определено,,,"{'мифология': 0.54, 'знание': 0.46}",False
Туманность Андромеды,Рисунки,не определено,,,"{'мифология': 0.498, 'сила': 0.406}",False
Туманность Андромеды,Вооружение,не определено,,,"{'сила': 0.565, 'мифология': 0.467}",False
Туманность Андромеды,Эвду Наль,не определено,,мифологизация,"{'мифология': 0.58, 'знание': 0.428}",True
Туманность Андромеды,Море,не определено,,,"{'мифология': 0.496, 'экология': 0.422}",False
Туманность Андромеды,Физик Рен,не определено,,мифологизация,"{'мифология': 0.592, 'знание': 0.574}",True
Туманность Андромеды,Волла Хода,не определено,,мифологизация,"{'мифология': 0.643, 'знание': 0.495}",True
Туманность Андромеды,Юния Анта,не определено,,мифологизация,"{'мифология': 0.618, 'экология': 0.502}",True
Туманность Андромеды,Аудитория,не определено,,,"{'мифология': 0.461, 'сила': 0.416}",False
Туманность Андромеды,Действие,не определено,,мифологизация,"{'мифология': 0.691, 'сила': 0.664}",True
Туманность Андромеды,Запах,не определено,,мифологизация,"{'мифология': 0.739, 'знание': 0.583}",True
Туманность Андромеды,Грим,не определено,,мифологизация,"{'мифология': 0.666, 'экология': 0.601}",True
Туманность Андромеды,Союза Стран,не определено,,,"{'сила': 0.438, 'мифология': 0.433}",False
Туманность Андромеды,Ощущение,не определено,,мифологизация,"{'мифология': 0.599, 'знание': 0.587}",True
Туманность Андромеды,М-33,не определено,,,{},False
Туманность Андромеды,Эру Разобщенного,не определено,,мифологизация,"{'мифология': 0.689, 'знание': 0.58}",True
Туманность Андромеды,Малой Медведице,не определено,,,{},False
Туманность Андромеды,Праздник Пламенных,не определено,,,{'мифология': 0.451},False
Туманность Андромеды,Юнием Антом,не определено,,,"{'мифология': 0.545, 'знание': 0.427}",False
Туманность Андромеды,Эону,не определено,,мифологизация,"{'мифология': 0.681, 'знание': 0.554}",True
Туманность Андромеды,Экватор,не определено,,,{},False
Туманность Андромеды,Наконец Эрг,не определено,,мифологизация,"{'мифология': 0.578, 'сила': 0.462}",True
Туманность Андромеды,Ведь Фрит,не определено,,мифологизация,"{'мифология': 0.704, 'знание': 0.623}",True
Туманность Андромеды,Видов,не определено,,мифологизация,"{'мифология': 0.767, 'экология': 0.648}",True
Туманность Андромеды,Плоты,не определено,,мифологизация,"{'мифология': 0.746, 'знание': 0.619}",True
Туманность Андромеды,Посейдона,не определено,,мифологизация,"{'мифология': 0.673, 'знание': 0.522}",True
Туманность Андромеды,Мозгу,не определено,,,"{'мифология': 0.459, 'знание': 0.451}",False
Туманность Андромеды,М-31,не определено,,,{},False
Туманность Андромеды,Оффа,не определено,,мифологизация,"{'мифология': 0.671, 'знание': 0.541}",True
Туманность Андромеды,Эона Тала,не определено,,мифологизация,"{'мифология': 0.568, 'знание': 0.437}",True
Туманность Андромеды,Совета Звездоплавания,не определено,,,"{'мифология': 0.464, 'сила': 0.405}",False
Туманность Андромеды,Станция,не определено,,,{},False
Туманность Андромеды,Кровь,не определено,,,{},False
Туманность Андромеды,Успею,не определено,,мифологизация,"{'сила': 0.61, 'знание': 0.602}",True
Туманность Андромеды,"Ефремов

Глава",не определено,,,{'мифология': 0.452},False
Туманность Андромеды,Курс,не определено,,мифологизация,"{'знание': 0.604, 'мифология': 0.559}",True
Туманность Андромеды,Сахары,не определено,,,{},False
Туманность Андромеды,Искусства,не определено,,,"{'мифология': 0.549, 'знание': 0.516}",False
Туманность Андромеды,Летчик,не определено,,,"{'мифология': 0.53, 'сила': 0.468}",False
Туманность Андромеды,Вот Дар,не определено,,мифологизация,"{'мифология': 0.64, 'знание': 0.523}",True
Туманность Андромеды,Страх,не определено,,,"{'тирания': 0.441, 'мифология': 0.403}",False
Туманность Андромеды,Необходимость,не определено,,,"{'знание': 0.573, 'мифология': 0.512}",False
Туманность Андромеды,Псами,не определено,,мифологизация,"{'мифология': 0.685, 'знание': 0.573}",True
Туманность Андромеды,Академии Направленных,не определено,,,"{'знание': 0.44, 'сила': 0.407}",False
Туманность Андромеды,Веги,не определено,,мифологизация,"{'мифология': 0.77, 'знание': 0.649}",True
Туманность Андромеды,Звездолет,не определено,,мифологизация,"{'мифология': 0.583, 'экология': 0.433}",True
Туманность Андромеды,Веду,не определено,,мифологизация,"{'мифология': 0.649, 'экология': 0.562}",True
Туманность Андромеды,Средней Сибири,не определено,,,{},False
Туманность Андромеды,Тзвезды,не определено,,мифологизация,"{'мифология': 0.6, 'сила': 0.463}",True
Туманность Андромеды,Пределом,не определено,,мифологизация,"{'мифология': 0.73, 'сила': 0.648}",True
Туманность Андромеды,Эрга,не определено,,мифологизация,"{'мифология': 0.666, 'знание': 0.518}",True
Туманность Андромеды,Пространство,не определено,,,"{'мифология': 0.546, 'экология': 0.492}",False
Туманность Андромеды,Вращение,не определено,,мифологизация,"{'мифология': 0.628, 'сила': 0.591}",True
Туманность Андромеды,Конструкция,не определено,,,"{'мифология': 0.521, 'сила': 0.514}",False
Туманность Андромеды,"Тайной
Двойного",не определено,,,"{'мифология': 0.532, 'знание': 0.52}",False
Туманность Андромеды,Mac,не определено,,,{},False
Туманность Андромеды,Космоса,не определено,,мифологизация,"{'мифология': 0.623, 'экология': 0.539}",True
Туманность Андромеды,Пищи,не определено,,мифологизация,"{'мифология': 0.711, 'знание': 0.601}",True
Туманность Андромеды,Эвде,не определено,,мифологизация,"{'мифология': 0.654, 'знание': 0.555}",True
Туманность Андромеды,Множество,не определено,,мифологизация,"{'мифология': 0.641, 'знание': 0.566}",True
Туманность Андромеды,Альфа,не определено,,мифологизация,"{'мифология': 0.602, 'сила': 0.529}",True
Туманность Андромеды,Зрелище,не определено,,мифологизация,"{'мифология': 0.773, 'знание': 0.634}",True
Туманность Андромеды,Высота,не определено,,мифологизация,"{'мифология': 0.709, 'сила': 0.619}",True
Туманность Андромеды,Глиссер,не определено,,мифологизация,"{'мифология': 0.723, 'знание': 0.591}",True
Туманность Андромеды,Сибири,не определено,,,{'мифология': 0.416},False
Туманность Андромеды,Зала Гостей,не определено,,мифологизация,"{'мифология': 0.608, 'знание': 0.517}",True
Туманность Андромеды,Дома,не определено,,,"{'мифология': 0.436, 'сила': 0.432}",False
Туманность Андромеды,Лайта,не определено,,мифологизация,"{'мифология': 0.654, 'знание': 0.512}",True
Туманность Андромеды,Замедление,не определено,,,{},False
Туманность Андромеды,Сердце Змеи,не определено,,,{},False
Туманность Андромеды,Число,не определено,,мифологизация,"{'мифология': 0.561, 'сила': 0.507}",True
Туманность Андромеды,Изумленный Мвен,не определено,,мифологизация,"{'мифология': 0.675, 'сила': 0.556}",True
Туманность Андромеды,Энергию,не определено,,,"{'сила': 0.652, 'экология': 0.42}",False
Туманность Андромеды,Восточной Африке,не определено,,,{},False
Туманность Андромеды,Сахара,не определено,,,{},False
Туманность Андромеды,Люде,не определено,,мифологизация,"{'мифология': 0.63, 'знание': 0.576}",True
Туманность Андромеды,Большой Медведице,не определено,,,{'экология': 0.41},False
Туманность Андромеды,Дворце,не определено,,,"{'мифология': 0.476, 'сила': 0.454}",False
Туманность Андромеды,Песок,не определено,,,{'мифология': 0.491},False
Туманность Андромеды,Люде Фир,не определено,,мифологизация,"{'мифология': 0.658, 'сила': 0.596}",True
Туманность Андромеды,Веда,слав./индоевр.,ведать = знать,"мифологизация, история, знание, дипломатия","{'мифология': 0.722, 'сила': 0.591}",True
Туманность Андромеды,Змееносца,не определено,,,"{'мифология': 0.536, 'экология': 0.481}",False
Туманность Андромеды,Долг Земли,не определено,,,{'экология': 0.458},False
Туманность Андромеды,Аф Нут,не определено,,мифологизация,"{'мифология': 0.703, 'знание': 0.578}",True
Туманность Андромеды,Людой,не определено,,мифологизация,"{'мифология': 0.64, 'знание': 0.583}",True
Туманность Андромеды,Ассирии,не определено,,,{'мифология': 0.539},False
Туманность Андромеды,Страдания,не определено,,,"{'мифология': 0.549, 'знание': 0.513}",False
Туманность Андромеды,Миико,не определено,,мифологизация,"{'мифология': 0.564, 'знание': 0.424}",True
Туманность Андромеды,Боза,не определено,,мифологизация,"{'мифология': 0.666, 'знание': 0.524}",True
Туманность Андромеды,Степь,не определено,,мифологизация,"{'мифология': 0.741, 'экология': 0.617}",True
Туманность Андромеды,Мечты,не определено,,,{'мифология': 0.504},False
Туманность Андромеды,Пепел,не определено,,,{'мифология': 0.425},False
Туманность Андромеды,Чудовище,не определено,,мифологизация,"{'мифология': 0.678, 'экология': 0.565}",True
Туманность Андромеды,Поэтов,не определено,,,"{'мифология': 0.523, 'знание': 0.458}",False
Туманность Андромеды,Большому Миру,не определено,,,"{'мифология': 0.504, 'экология': 0.481}",False
Туманность Андромеды,Спиролет,не определено,,мифологизация,"{'мифология': 0.594, 'экология': 0.486}",True
Туманность Андромеды,Воображение,не определено,,мифологизация,"{'мифология': 0.632, 'знание': 0.567}",True
Туманность Андромеды,Цефею,не определено,,мифологизация,"{'мифология': 0.661, 'знание': 0.538}",True
Туманность Андромеды,Низу,не определено,,мифологизация,"{'мифология': 0.672, 'знание': 0.516}",True
Туманность Андромеды,Низы,не определено,,мифологизация,"{'мифология': 0.713, 'знание': 0.549}",True
Туманность Андромеды,Подъемник,не определено,,мифологизация,"{'мифология': 0.731, 'сила': 0.608}",True
Туманность Андромеды,Сердце,не определено,,,{},False
Туманность Андромеды,"Солнц
Из",не определено,,мифологизация,"{'мифология': 0.646, 'сила': 0.495}",True
Туманность Андромеды,Советов,не определено,,,"{'знание': 0.551, 'мифология': 0.473}",False
Туманность Андромеды,Экран,не определено,,мифологизация,"{'мифология': 0.673, 'знание': 0.541}",True
Туманность Андромеды,Кении,не определено,,,{},False
Туманность Андромеды,Художник Карт,не определено,,мифологизация,"{'мифология': 0.607, 'знание': 0.499}",True
Туманность Андромеды,Ветров,не определено,,,"{'сила': 0.437, 'экология': 0.404}",False
Туманность Андромеды,Солнца,не определено,,,{},False
Туманность Андромеды,Потолка,не определено,,мифологизация,"{'мифология': 0.66, 'сила': 0.581}",True
Туманность Андромеды,"Эргу
Ноору",не определено,,мифологизация,"{'мифология': 0.684, 'знание': 0.521}",True
Туманность Андромеды,Столб,не определено,,мифологизация,"{'мифология': 0.673, 'знание': 0.563}",True
Туманность Андромеды,Цепи,не определено,,мифологизация,"{'мифология': 0.723, 'знание': 0.606}",True
Туманность Андромеды,Голец Подлунный,не определено,,мифологизация,"{'мифология': 0.606, 'экология': 0.504}",True
Туманность Андромеды,Губы,не определено,,мифологизация,"{'мифология': 0.761, 'знание': 0.612}",True
Туманность Андромеды,Пальцы,не определено,,,{'мифология': 0.407},False
Туманность Андромеды,Медведицы,не определено,,,{},False
Туманность Андромеды,Подчинение,не определено,,мифологизация,"{'знание': 0.693, 'мифология': 0.678}",True
Туманность Андромеды,Верна,не определено,,мифологизация,"{'мифология': 0.619, 'знание': 0.504}",True
Туманность Андромеды,Рев,не определено,,мифологизация,"{'мифология': 0.662, 'знание': 0.563}",True
Туманность Андромеды,Антарктики,не определено,,,{},False
Туманность Андромеды,Бозом,не определено,,мифологизация,"{'мифология': 0.622, 'знание': 0.504}",True
Туманность Андромеды,Земли,не определено,,мифологизация,"{'мифология': 0.663, 'экология': 0.653}",True
Туманность Андромеды,"Водяной
Змеей",не определено,,,{},False
Туманность Андромеды,Млечном Пути,не определено,,,"{'мифология': 0.546, 'экология': 0.506}",False
Туманность Андромеды,Кай,не определено,,мифологизация,"{'мифология': 0.67, 'знание': 0.552}",True
Туманность Андромеды,Комнату,не определено,,,"{'мифология': 0.51, 'знание': 0.454}",False
Туманность Андромеды,Альфы,не определено,,мифологизация,"{'мифология': 0.66, 'экология': 0.537}",True
Туманность Андромеды,Веде,не определено,,мифологизация,"{'мифология': 0.753, 'сила': 0.639}",True
Туманность Андромеды,Винт,не определено,,мифологизация,"{'мифология': 0.753, 'знание': 0.648}",True
Туманность Андромеды,Паруса,не определено,,мифологизация,"{'мифология': 0.716, 'знание': 0.571}",True
Туманность Андромеды,Оль,не определено,,мифологизация,"{'мифология': 0.714, 'знание': 0.604}",True
Туманность Андромеды,Поясню,не определено,,мифологизация,"{'мифология': 0.729, 'знание': 0.667}",True
Туманность Андромеды,Ура,не определено,,мифологизация,"{'мифология': 0.709, 'знание': 0.564}",True
Туманность Андромеды,Водолее,не определено,,мифологизация,"{'мифология': 0.691, 'сила': 0.627}",True
Туманность Андромеды,Вибрация,не определено,,,"{'мифология': 0.523, 'сила': 0.508}",False
Туманность Андромеды,Обольстительной Аннабель,не определено,,мифологизация,"{'мифология': 0.735, 'сила': 0.584}",True
Туманность Андромеды,Хебом,не определено,,,"{'мифология': 0.541, 'знание': 0.425}",False
Туманность Андромеды,Зан Сена,не определено,,мифологизация,"{'мифология': 0.617, 'знание': 0.481}",True
Туманность Андромеды,Череп,не определено,,мифологизация,"{'мифология': 0.744, 'сила': 0.63}",True
Туманность Андромеды,"Мвен
Мас",не определено,,мифологизация,"{'мифология': 0.646, 'сила': 0.569}",True
Туманность Андромеды,Кэй Бэр,не определено,,мифологизация,"{'мифология': 0.674, 'знание': 0.571}",True
Туманность Андромеды,Мне Рен,не определено,,мифологизация,"{'мифология': 0.654, 'знание': 0.504}",True
Туманность Андромеды,Тема,не определено,,мифологизация,"{'мифология': 0.686, 'знание': 0.627}",True
Туманность Андромеды,Тон,не определено,,мифологизация,"{'мифология': 0.687, 'знание': 0.588}",True
Туманность Андромеды,Южной Африке,не определено,,,{'мифология': 0.424},False
Туманность Андромеды,Токов,не определено,,мифологизация,"{'мифология': 0.735, 'знание': 0.623}",True
Туманность Андромеды,Осмотр,не определено,,мифологизация,"{'мифология': 0.734, 'знание': 0.642}",True
Туманность Андромеды,Галь,не определено,,мифологизация,"{'мифология': 0.698, 'знание': 0.567}",True
Туманность Андромеды,Академией,не определено,,,"{'знание': 0.489, 'мифология': 0.451}",False
Туманность Андромеды,Эону Талу,не определено,,мифологизация,"{'мифология': 0.645, 'знание': 0.512}",True
Туманность Андромеды,Зал,не определено,,мифологизация,"{'мифология': 0.574, 'сила': 0.489}",True
Туманность Андромеды,Осенние,не определено,,мифологизация,"{'мифология': 0.634, 'экология': 0.58}",True
Туманность Андромеды,Попытка,не определено,,,"{'знание': 0.544, 'сила': 0.517}",False
Туманность Андромеды,Только Веда,не определено,,,"{'мифология': 0.51, 'сила': 0.418}",False
Туманность Андромеды,Вопль,не определено,,мифологизация,"{'мифология': 0.751, 'сила': 0.623}",True
Туманность Андромеды,Дороге,не определено,,,"{'мифология': 0.453, 'сила': 0.417}",False
Туманность Андромеды,Дорога Ветров,не определено,,,"{'сила': 0.527, 'мифология': 0.524}",False
Туманность Андромеды,Переход,не определено,,,"{'мифология': 0.549, 'сила': 0.507}",False
Туманность Андромеды,Гончих Псов,не определено,,мифологизация,"{'мифология': 0.625, 'сила': 0.558}",True
Туманность Андромеды,Конь,не определено,,,{},False
Туманность Андромеды,Будущего,не определено,,,{'мифология': 0.439},False
Туманность Андромеды,Академию,не определено,,,"{'знание': 0.521, 'мифология': 0.479}",False
Туманность Андромеды,Края,не определено,,мифологизация,"{'мифология': 0.724, 'знание': 0.592}",True
Туманность Андромеды,Вегу,не определено,,мифологизация,"{'мифология': 0.757, 'знание': 0.635}",True
Туманность Андромеды,Хода,не определено,,мифологизация,"{'мифология': 0.719, 'знание': 0.587}",True
Туманность Андромеды,Картина,не определено,,мифологизация,"{'мифология': 0.683, 'знание': 0.572}",True
Туманность Андромеды,Светильники,не определено,,,{'мифология': 0.427},False
Туманность Андромеды,Дежурный,не определено,,мифологизация,"{'мифология': 0.73, 'знание': 0.643}",True
Туманность Андромеды,Усталость,не определено,,,{},False
Туманность Андромеды,Монголии,не определено,,,{'мифология': 0.419},False
Туманность Андромеды,Ноора,не определено,,мифологизация,"{'мифология': 0.736, 'знание': 0.586}",True
Туманность Андромеды,Язычки,не определено,,мифологизация,"{'мифология': 0.69, 'экология': 0.584}",True
Туманность Андромеды,Кольца,не определено,,,"{'мифология': 0.507, 'знание': 0.424}",False
Туманность Андромеды,Hoop,не определено,,,"{'мифология': 0.457, 'сила': 0.431}",False
Туманность Андромеды,Путями,не определено,,мифологизация,"{'мифология': 0.602, 'знание': 0.567}",True
Туманность Андромеды,Венеры,не определено,,,{'мифология': 0.434},False
Туманность Андромеды,Плутона,не определено,,,{'мифология': 0.44},False
Туманность Андромеды,Наль,не определено,,мифологизация,"{'мифология': 0.628, 'знание': 0.485}",True
Туманность Андромеды,"Мозг
Низшей",не определено,,,{},False
Туманность Андромеды,Десятки,не определено,,мифологизация,"{'мифология': 0.608, 'экология': 0.547}",True
Туманность Андромеды,Орму,не определено,,мифологизация,"{'мифология': 0.629, 'знание': 0.503}",True
Туманность Андромеды,Скелеты,не определено,,мифологизация,"{'мифология': 0.693, 'экология': 0.55}",True
Туманность Андромеды,Астролетчик,не определено,,,{'мифология': 0.504},False
Туманность Андромеды,Эон Тал,не определено,,мифологизация,"{'мифология': 0.618, 'сила': 0.506}",True
Туманность Андромеды,История,не определено,,мифологизация,"{'мифология': 0.661, 'знание': 0.585}",True
Туманность Андромеды,Забота,не определено,,мифологизация,"{'мифология': 0.743, 'знание': 0.665}",True
Туманность Андромеды,"Академия
Горя",не определено,,,"{'мифология': 0.468, 'знание': 0.439}",False
Туманность Андромеды,Нанди,не определено,,мифологизация,"{'мифология': 0.622, 'знание': 0.462}",True
Туманность Андромеды,Борьба,не определено,,,"{'сила': 0.495, 'мифология': 0.46}",False
Туманность Андромеды,Эвды,не определено,,мифологизация,"{'мифология': 0.77, 'знание': 0.633}",True
Туманность Андромеды,Эргу Ноору,не определено,,мифологизация,"{'мифология': 0.684, 'знание': 0.521}",True
Туманность Андромеды,Города,не определено,,,"{'сила': 0.418, 'мифология': 0.413}",False
Туманность Андромеды,Опыт Рен,не определено,,мифологизация,"{'знание': 0.571, 'мифология': 0.561}",True
Туманность Андромеды,Зоре,не определено,,мифологизация,"{'мифология': 0.747, 'знание': 0.598}",True
Туманность Андромеды,Туманности Андромеды,не определено,,,{'мифология': 0.415},False
Туманность Андромеды,Чары Нанди,не определено,,мифологизация,"{'мифология': 0.626, 'экология': 0.434}",True
Туманность Андромеды,Институт,не определено,,мифологизация,"{'мифология': 0.623, 'знание': 0.598}",True
Туманность Андромеды,Рену,не определено,,мифологизация,"{'мифология': 0.662, 'знание': 0.526}",True
Туманность Андромеды,Гиром,не определено,,мифологизация,"{'мифология': 0.752, 'сила': 0.618}",True
Туманность Андромеды,Тинтажеля,не определено,,мифологизация,"{'мифология': 0.708, 'знание': 0.561}",True
Туманность Андромеды,Эру Общего,не определено,,мифологизация,"{'мифология': 0.668, 'сила': 0.586}",True
Туманность Андромеды,Предложение Хеба,не определено,,,{'мифология': 0.425},False
Туманность Андромеды,Глава,не определено,,,"{'мифология': 0.524, 'знание': 0.415}",False
Туманность Андромеды,Совета Мвена,не определено,,,"{'мифология': 0.52, 'сила': 0.506}",False
Туманность Андромеды,Земля Великому,не определено,,,"{'экология': 0.503, 'мифология': 0.496}",False
Туманность Андромеды,Бэра,не определено,,мифологизация,"{'мифология': 0.635, 'знание': 0.561}",True
Туманность Андромеды,Основание,не определено,,мифологизация,"{'мифология': 0.655, 'знание': 0.608}",True
Туманность Андромеды,Шара,не определено,,мифологизация,"{'мифология': 0.682, 'знание': 0.514}",True
Туманность Андромеды,Рен Боза,не определено,,мифологизация,"{'мифология': 0.657, 'знание': 0.518}",True
Туманность Андромеды,Занятия,не определено,,мифологизация,"{'знание': 0.689, 'мифология': 0.642}",True
Туманность Андромеды,Поля,не определено,,мифологизация,"{'мифология': 0.746, 'сила': 0.618}",True
Туманность Андромеды,География Земли,не определено,,,{},False
Туманность Андромеды,Обрадованный Мвен,не определено,,мифологизация,"{'мифология': 0.627, 'сила': 0.58}",True
Туманность Андромеды,Онга,не определено,,мифологизация,"{'мифология': 0.74, 'знание': 0.591}",True
Туманность Андромеды,Туманность,не определено,,мифологизация,"{'мифология': 0.637, 'экология': 0.566}",True
Туманность Андромеды,Свет,не определено,,мифологизация,"{'мифология': 0.754, 'экология': 0.668}",True
Туманность Андромеды,Ряды,не определено,,мифологизация,"{'мифология': 0.591, 'экология': 0.523}",True
Туманность Андромеды,Зиг,не определено,,мифологизация,"{'мифология': 0.641, 'знание': 0.511}",True
Туманность Андромеды,Рассказы Толстому,не определено,,,{'мифология': 0.413},False
Туманность Андромеды,Солнцем,не определено,,,{'мифология': 0.416},False
Туманность Андромеды,"Академией
Направленных",не определено,,,"{'знание': 0.449, 'сила': 0.426}",False
Туманность Андромеды,Дом,не определено,,,"{'мифология': 0.454, 'сила': 0.442}",False
Туманность Андромеды,Аэлла,не определено,,мифологизация,"{'мифология': 0.687, 'знание': 0.542}",True
Туманность Андромеды,Бина Лед,не определено,,мифологизация,"{'мифология': 0.733, 'знание': 0.586}",True
Туманность Андромеды,Атлантике,не определено,,,"{'мифология': 0.463, 'экология': 0.418}",False
Туманность Андромеды,Пелу,не определено,,,{'мифология': 0.538},False
Туманность Андромеды,Анта,не определено,,мифологизация,"{'мифология': 0.599, 'знание': 0.487}",True
Туманность Андромеды,Горсточка,не определено,,мифологизация,"{'мифология': 0.763, 'сила': 0.622}",True
Туманность Андромеды,Земле,не определено,,мифологизация,"{'мифология': 0.741, 'экология': 0.685}",True
Туманность Андромеды,Лебедя,не определено,,мифологизация,"{'мифология': 0.694, 'знание': 0.537}",True
Туманность Андромеды,Половина,не определено,,,{},False
Туманность Андромеды,Робот,не определено,,,"{'тирания': 0.488, 'мифология': 0.443}",False
Туманность Андромеды,Многих,не определено,,,"{'мифология': 0.54, 'знание': 0.49}",False
Туманность Андромеды,Движение,не определено,,мифологизация,"{'сила': 0.579, 'мифология': 0.558}",True
Туманность Андромеды,"Эры
Разобщенного",не определено,,мифологизация,"{'мифология': 0.659, 'знание': 0.588}",True
Туманность Андромеды,Летом,не определено,,,"{'мифология': 0.455, 'знание': 0.413}",False
Туманность Андромеды,Лоне,не определено,,мифологизация,"{'мифология': 0.762, 'знание': 0.632}",True
Туманность Андромеды,Отказ,не определено,,мифологизация,"{'мифология': 0.665, 'сила': 0.597}",True
Туманность Андромеды,Работники,не определено,,,{},False
Туманность Андромеды,Марсе,не определено,,,{},False
Туманность Андромеды,Чаре,не определено,,мифологизация,"{'мифология': 0.713, 'знание': 0.556}",True
Туманность Андромеды,Права,не определено,,мифологизация,"{'мифология': 0.599, 'сила': 0.579}",True
Туманность Андромеды,Лин,не определено,,мифологизация,"{'мифология': 0.713, 'знание': 0.611}",True
Туманность Андромеды,Метки,не определено,,мифологизация,"{'мифология': 0.741, 'знание': 0.622}",True
Туманность Андромеды,Благодарите Веду,не определено,,,"{'мифология': 0.405, 'знание': 0.405}",False
Туманность Андромеды,Север,не определено,,,"{'мифология': 0.523, 'экология': 0.447}",False
Туманность Андромеды,Китае,не определено,,,{},False
Туманность Андромеды,Каракоруме,не определено,,мифологизация,"{'мифология': 0.552, 'сила': 0.418}",True
Туманность Андромеды,Росс,не определено,,,"{'мифология': 0.469, 'сила': 0.452}",False
Туманность Андромеды,Карфагена,не определено,,мифологизация,"{'мифология': 0.595, 'знание': 0.51}",True
Туманность Андромеды,Мвеном Масом,не определено,,мифологизация,"{'мифология': 0.685, 'сила': 0.588}",True
Туманность Андромеды,"Дар
Ветру",не определено,,,{'сила': 0.433},False
Туманность Андромеды,Мысль,не определено,,мифологизация,"{'мифология': 0.79, 'знание': 0.661}",True
Туманность Андромеды,Звезды,не определено,,,{'мифология': 0.439},False
Туманность Андромеды,Маленькая Миико,не определено,,,{'мифология': 0.516},False
Туманность Андромеды,Эргом,не определено,,мифологизация,"{'мифология': 0.737, 'знание': 0.594}",True
Туманность Андромеды,Солнцу,не определено,,,{'мифология': 0.441},False
Туманность Андромеды,Надпись,не определено,,мифологизация,"{'мифология': 0.617, 'знание': 0.559}",True
Туманность Андромеды,Ивы Джан,не определено,,мифологизация,"{'мифология': 0.675, 'знание': 0.526}",True
Туманность Андромеды,Учитель,не определено,,,{'знание': 0.473},False
Туманность Андромеды,Чандрасекара,не определено,,мифологизация,"{'мифология': 0.586, 'знание': 0.44}",True
Туманность Андромеды,Академия Производительных,не определено,,,{},False
Туманность Андромеды,Юния,не определено,,мифологизация,"{'мифология': 0.731, 'знание': 0.599}",True
Туманность Андромеды,Мире,не определено,,мифологизация,"{'мифология': 0.733, 'знание': 0.601}",True
